wavelength spectrum_sum 3smoothed_sum spectrum_optimal 3smoothed_optimal spectrum_snr
4331.44 41300.2 40699.4 40092.3 39468.6 216.826
4334.35 37558.4 37247.2 36252.7 36012.8 206.723
4337.26 32883.1 33727.4 31693.4 32617 193.358
4340.17 30740.6 32019.3 29905 31204.1 186.908
4343.08 32434.1 32732.3 32013.9 32174.8 192.015
4345.99 35022.1 34711.1 34605.5 34288.7 199.567
4348.9 36677.1 36842.5 36246.6 36424.6 204.329
4351.81 38828.3 39094.9 38421.7 38659 210.213
4354.72 41779.1 41326.1 41308.6 40872.8 218.099
4357.63 43371 43524 42887.9 43016 222.255
4360.54 45421.8 45355.1 44851.4 44768.2 227.466
4363.45 47272.5 47219.4 46565.4 46525.2 232.058
4366.35 48963.9 48730.8 48159 47963.7 236.223
4369.26 49956 49849 49166.9 49034.7 238.641
4372.17 50627.1 50664.2 49778.3 49861.6 240.193
4375.08 51409.5 51663 50639.6 50864.8 242.033
4377.99 52952.5 52173.2 52176.5 51345.3 245.679
4380.9 52157.5 52056.1 51219.7 51202.9 243.831
4383.81 51058.1 51808.3 50212.5 50955 241.223
4386.72 52209.1 51761.5 51432.8 50929.5 243.92
4389.63 52017.1 52370.3 51143.2 51548.4 243.533
4392.54 52884.6 52599.4 52069.3 51840.1 245.525
4395.45 52896.4 52881 52308 52151.3 245.486
4398.35 52861.9 53229.9 52076.5 52537.2 245.465
4401.26 53931.3 53623.1 53227.2 52883.7 247.957
4404.17 54076.1 54043.1 53347.3 53322.1 248.254
4407.08 54121.9 54228.9 53391.8 53555.2 248.361
4409.99 54488.7 54241.9 53926.6 53604.5 249.234
4412.9 54115.2 54291.2 53495.1 53707.3 248.326
4415.81 54269.6 54210.9 53700.1 53633.2 248.69
4418.72 54248.1 54678.3 53704.2 54105.4 248.633
4421.62 55517.3 55072.2 54912 54491.9 251.53
4424.53 55451.3 55172.1 54859.4 54551.1 251.398
4427.44 54547.7 54883.7 53882.1 54296.5 249.333
4430.35 54652.1 54698.5 54148.2 54177.2 249.572
4433.26 54895.6 55226.9 54501.5 54828.8 250.141
4436.17 56133.1 55908.8 55836.6 55471.9 252.968
4439.07 56697.6 55985.1 56077.5 55469.2 254.238
4441.98 55124.6 55553.4 54493.5 54993.2 250.623
4444.89 54837.9 54959.1 54408.5 54467.2 249.992
4447.8 54914.8 54812.9 54499.6 54384.2 250.176
4450.71 54685.8 54923.7 54244.6 54471.1 249.643
4453.61 55170.5 54980.3 54669.3 54539 250.739
4456.52 55084.6 55019.3 54703 54580.6 250.573
4459.43 54802.8 54498.3 54369.4 54076.9 249.93
4462.34 53607.6 53986.2 53158.3 53563 247.152
4465.25 53548.3 53468.5 53161.3 53124.6 247.006
4468.15 53249.6 53892 53054.1 53640.2 246.333
4471.06 54878.2 54876.9 54705.2 54725.3 250.099
4473.97 56503.1 55893.6 56416.7 55731 253.801
4476.88 56299.6 55960.5 56071.2 55792.9 253.362
4479.78 55078.8 55605.4 54890.8 55444.3 250.568
4482.69 55437.9 55704.9 55370.8 55583.7 251.345
4485.6 56598 56161.5 56489.5 56079.1 254.007
4488.51 56448.7 56665.6 56376.8 56630.6 253.632
4491.41 56949.9 56963 57025.6 56956.8 254.741
4494.32 57490.2 57483 57468.1 57478.1 255.984
4497.23 58009 57975.9 57940.6 57982.2 257.158
4500.13 58428.6 58876.3 58537.9 58889.6 258.069
4503.04 60191.3 59466.5 60190.3 59495.3 261.987
4505.95 59779.6 60115.3 59757.8 60078.9 261.104
4508.86 60375 60263.4 60288.6 60229.8 262.332
4511.76 60635.6 60356.9 60642.9 60317 262.905
4514.67 60060.1 59859.2 60019.4 59793.6 261.657
4517.58 58881.8 58865.3 58718.4 58814.4 259.079
4520.48 57653.9 57740.9 57705.3 57731.2 256.336
4523.39 56686.8 56957.6 56769.8 57037.6 254.136
4526.3 56532.2 56719.8 56637.5 56798.6 253.824
4529.2 56940.3 57122.4 56988.5 57243.5 254.716
4532.11 57894.7 57660.4 58104.4 57888.4 256.909
4535.02 58146.2 58180.2 58572.3 58437 257.446
4537.92 58499.8 58405.1 58634.3 58738.2 258.204
4540.83 58569.2 58803.7 59008 59094.8 258.363
4543.74 59342.1 58926.8 59642.1 59251.3 260.068
4546.64 58869.1 58654.9 59103.8 58965.3 258.977
4549.55 57753.6 57675 58150 57926.3 256.554
4552.45 56402.5 56753.9 56525.2 56976.2 253.544
4555.36 56105.5 56473.5 56253.5 56670.7 252.836
4558.27 56912.3 56903.6 57233.4 57153.6 254.65
4561.17 57692.9 57940.8 57973.9 58290.6 256.401
4564.08 59217.2 58972 59664.4 59409.9 259.805
4566.98 60005.9 59802.3 60591.2 60263.7 261.498
4569.89 60183.8 60180.2 60535.6 60690.1 261.9
4572.8 60350.8 60546 60943.4 61100.8 262.248
4575.7 61103.3 60694.2 61823.4 61324.3 263.9
4578.61 60628.3 60768.4 61206 61393.4 262.875
4581.51 60573.4 60596.5 61150.8 61202.1 262.757
4584.42 60587.8 60626.8 61249.4 61234.3 262.794
4587.32 60719 60683.9 61302.8 61296.6 263.041
4590.23 60744.8 60562.1 61337.5 61162.1 263.098
4593.14 60222.6 60739.4 60846 61356.5 261.946
4596.04 61251 61123.6 61886.1 61772.9 264.193
4598.95 61897.1 61606.5 62586.6 62276 265.596
4601.85 61671.3 61782.7 62355.3 62527.5 265.112
4604.76 61779.6 61972.4 62640.6 62774.6 265.341
4607.66 62466.2 62358.5 63327.9 63278.7 266.863
4610.57 62829.6 62867.6 63867.7 63815.2 267.578
4613.47 63307 62805.8 64250.1 63778.9 268.648
4616.38 62280.8 62691.9 63218.8 63597.5 266.427
4619.28 62487.8 62784.6 63323.4 63715.5 266.861
4622.19 63585.1 63219.6 64604.3 64170.8 269.201
4625.09 63585.9 63343.9 64584.8 64335.4 269.206
4628 62860.8 63503 63817.2 64490 267.684
4630.9 64062.2 61460.4 65068 64281.9 270.199
4633.81 57458.3 59765.4 63960.6 64497.9 255.837
4636.71 57775.8 57743.2 64465 64395.2 256.523
4639.61 57995.6 58083.5 64760.1 64869 257.077
4642.52 58479 58196.8 65381.8 65023.5 258.121
4645.42 58115.9 58097.4 64928.5 64927.4 257.321
4648.33 57697.4 58188 64472 65006.2 256.363
4651.23 58750.8 58106.8 65618.3 64910.2 258.75
4654.14 57872.3 58399.3 64640.3 65253.4 256.83
4657.04 58574.8 58421.6 65501.7 65272.3 258.291
4659.94 58817.6 58618.3 65674.8 65472 258.882
4662.85 58462.5 58136.9 65239.4 64919.4 258.093
4665.75 57130.6 57349.6 63844 64105.7 255.096
4668.66 56455.8 57099.8 63233.8 63873.2 253.598
4671.56 57713 57582.1 64541.8 64432.6 256.417
4674.46 58577.4 58351.1 65522.1 65259.7 258.349
4677.37 58762.8 58586.1 65715.3 65525.8 258.773
4680.27 58418.1 58597.6 65340 65564.4 257.986
4683.18 58611.8 58762.7 65637.8 65764.1 258.407
4686.08 59258.1 59022.9 66314.5 66055.6 259.872
4688.98 59198.8 59218.5 66214.4 66261.4 259.681
4691.89 59198.5 59413.5 66255.4 66516.9 259.716
4694.79 59843.1 59594.1 67081 66779 261.141
4697.69 59740.6 59455.2 67000.6 66618.7 260.883
4700.6 58781.9 58828.1 65774.5 65939.9 258.789
4703.5 57961.8 58400.9 65044.6 65464.6 256.948
4706.4 58458.9 58406.7 65574.7 65541.7 258.057
4709.31 58799.6 58621.1 66005.9 65759.4 258.831
4712.21 58604.7 58677.9 65697.6 65798.5 258.416
4715.11 58629.4 58924.5 65691.9 66068.2 258.44
4718.01 59539.4 59353.9 66815.2 66581.8 260.497
4720.92 59892.9 59723.5 67238.4 67038.4 261.238
4723.82 59738.2 59544.2 67061.6 66863.2 260.878
4726.72 59001.6 59214.9 66289.8 66511.9 259.274
4729.63 58904.7 59130.8 66184.5 66418.6 259.029
4732.53 59486 59006.8 66781.5 66257.7 260.323
4735.43 58629.7 59108.8 65807.2 66349 258.427
4738.33 59210.8 58981.9 66458.3 66206.5 259.731
4741.24 59105.1 59201.9 66353.8 66465.6 259.507
4744.14 59289.7 59212.2 66584.6 66498.1 259.93
4747.04 59241.8 59432.6 66556 66741.3 259.831
4749.94 59766.2 59504 67083.4 66812.6 260.978
4752.85 59504.1 59607.9 66798.5 66966.5 260.405
4755.75 59553.4 59505.4 67017.5 66870.4 260.471
4758.65 59458.8 59444.4 66795.1 66842 260.28
4761.55 59321 59316.1 66713.4 66691.6 259.923
4764.45 59168.3 59314.3 66566.3 66729.7 259.629
4767.36 59453.5 59532 66909.3 66983.7 260.244
4770.26 59974.3 59866.6 67475.4 67366.1 261.406
4773.16 60171.9 60207.7 67713.7 67752.7 261.879
4776.06 60476.8 60581.1 68069.1 68176.6 262.476
4778.96 61094.6 60595.3 68746.9 68207.5 263.894
4781.86 60214.3 60487 67806.4 68087 261.914
4784.76 60152 59907.4 67707.8 67473.3 261.834
4787.67 59355.8 59789.7 66905.7 67351.8 260.052
4790.57 59861.3 59681.7 67441.8 67291.4 261.192
4793.47 59828.2 59914.2 67526.7 67569.1 261.125
4796.37 60053.3 59980.5 67738.7 67639.9 261.572
4799.27 60060.1 60034.4 67654.3 67716.3 261.628
4802.17 59989.9 59753.4 67755.8 67405.5 261.411
4805.07 59210.1 59337.8 66806.3 66935.9 259.716
4807.97 58813.5 59003.3 66245.5 66541.3 258.861
4810.88 58986.2 59100.7 66572.2 66665.4 259.251
4813.78 59502.3 59426.1 67178.5 67085.9 260.376
4816.68 59789.7 59253.1 67506.9 66880.8 261.05
4819.58 58467.2 58536.7 65956.9 66087.4 258.067
4822.48 57353.1 57650.5 64798.5 65114.7 255.628
4825.38 57131.3 57015.1 64588.7 64444.2 255.145
4828.28 56560.9 56849.9 63945.3 64265 253.833
4831.18 56857.4 56560.5 64261 63920.1 254.514
4834.08 56263.1 56366.4 63553.9 63678.5 253.211
4836.98 55978.7 55811.1 63220.4 63033.6 252.521
4839.88 55191.5 54884.4 62326.5 61968 250.706
4842.78 53483.1 53531 60357.2 60461.8 246.769
4845.68 51918.3 51967 58701.7 58722.1 243.144
4848.58 50499.6 50047.3 57107.4 56587.4 239.838
4851.48 47724.1 47300 53953.2 53488.4 233.056
4854.38 43676.2 43537.3 49404.5 49248.2 222.895
4857.28 39211.6 39150.6 44387 44343.9 211.118
4860.18 34564.1 36014.8 39240.3 40860.5 198.12
4863.08 34268.8 35214 38954.3 40015.2 197.31
4865.98 36809.1 37063.8 41851 42104.4 204.516
4868.88 40113.4 39772.3 45507.8 45127.6 213.572
4871.78 42394.3 42366.7 48023.9 48004.1 219.632
4874.68 44592.3 44778.5 50480.7 50704.3 225.198
4877.58 47348.9 47065.1 53608.2 53283.4 232.162
4880.48 49254.2 48735.7 55761.3 55198.1 236.788
4883.38 49604.1 50077 56224.8 56715.1 237.618
4886.27 51372.6 50956.5 58159.1 57737.6 241.941
4889.17 51892.7 52187.8 58828.9 59133.4 243.121
4892.07 53297.9 53298.8 60412 60438.8 246.418
4894.97 54705.9 54448.4 62075.4 61730.2 249.614
4897.87 55341.6 55210.4 62703 62612.3 251.105
4900.77 55583.6 55850.1 63058.5 63320.9 251.656
4903.67 56625.2 56470.1 64201.2 64078.4 253.996
4906.57 57201.3 57047.4 64975.5 64741.8 255.267
4909.47 57315.6 57303.7 65048.8 65071 255.493
4912.36 57394.1 57448.7 65188.9 65185.9 255.695
4915.26 57636.3 56893.7 65319.9 64558.5 256.231
