wavelength spectrum_sum 3smoothed_sum spectrum_optimal 3smoothed_optimal spectrum_snr
4265.42 384.214 400.597 401.579 419.572 15.3327
4268.33 436.289 409.062 461.08 420.736 16.9066
4271.24 406.682 407.119 399.548 415.942 15.997
4274.14 378.385 400.366 387.199 407.894 15.3259
4277.05 416.03 390.964 436.936 408.055 16.1407
4279.96 378.475 384.203 400.03 403.388 14.8922
4282.87 358.105 402.598 373.2 422.527 14.5119
4285.78 471.214 427.028 494.352 447.894 18.0391
4288.69 451.766 457.744 476.131 481.993 17.2932
4291.6 450.25 440.308 475.497 465.887 17.1696
4294.51 418.908 430.924 446.034 453.306 16.4904
4297.41 423.613 411.43 438.387 440.873 16.6428
4300.32 391.77 428.61 438.197 458.267 15.9145
4303.23 470.446 438.437 498.216 463.235 18.224
4306.14 453.094 464.476 453.292 472.826 17.7554
4309.05 469.888 458.256 466.971 458.377 17.9855
4311.96 451.786 474.9 454.868 479.484 17.4041
4314.86 503.025 473.049 516.614 479.703 18.5995
4317.77 464.337 470.644 467.626 485.151 17.4846
4320.68 444.57 452.119 471.214 465.081 16.7312
4323.59 447.448 468.006 456.404 481.398 16.6366
4326.5 511.999 460.381 516.576 473.276 18.5919
4329.41 421.694 462.489 446.848 493.757 15.885
4332.31 453.774 454.003 517.847 488.649 16.899
4335.22 486.54 465.296 501.253 502.629 17.799
4338.13 455.576 461.105 488.788 484.081 16.6877
4341.04 441.2 447.511 462.201 467.232 16.4365
4343.95 445.756 441.806 450.706 454.804 16.478
4346.85 438.462 439.455 451.504 449.616 16.3874
4349.76 434.149 443.55 446.637 453.146 16.2283
4352.67 458.039 446.745 461.296 469.324 16.9928
4355.58 448.048 459.88 500.039 495.056 16.4289
4358.49 473.553 449.957 523.834 489.744 17.1523
4361.39 428.271 447.882 445.359 476.315 15.9565
4364.3 441.821 433.877 459.753 448.871 16.4601
4367.21 431.54 443.465 441.501 459.275 16.1738
4370.12 457.035 437.014 476.57 451.352 16.8478
4373.02 422.467 428.115 435.986 453.364 15.8534
4375.93 404.843 420.9 447.536 446.57 15.099
4378.84 435.389 450.894 456.188 481.955 16.2002
4381.75 512.449 484.056 542.142 508.133 18.2311
4384.65 504.329 495.189 526.069 523.644 18.0723
4387.56 468.789 479.841 502.72 509.07 17.0646
4390.47 466.405 487.984 498.422 511.896 16.8162
4393.38 528.758 512.279 534.546 523.007 18.7966
4396.28 541.674 520.336 536.054 521.72 19.0534
4399.19 490.577 504.783 494.56 510.283 17.3435
4402.1 482.098 493.686 500.235 504.375 17.1999
4405.01 508.385 496.98 518.329 520.999 17.728
4407.91 500.458 522.725 544.432 537.754 17.3522
4410.82 559.331 520.36 550.502 540.353 18.941
4413.73 501.291 501.295 526.125 510.985 17.3401
4416.63 443.262 496.971 456.329 512.655 15.6057
4419.54 546.359 504.771 555.509 523.768 18.6143
4422.45 524.691 544.592 559.465 575.472 17.7319
4425.35 562.725 544.32 611.442 573.704 18.7418
4428.26 545.543 550.508 550.204 573.945 18.1271
4431.17 543.257 535.831 560.19 571.4 17.973
4434.08 518.693 527.88 603.805 568.624 17.3272
4436.98 521.689 541.262 541.877 586.202 17.7659
4439.89 583.406 562.183 612.924 579.979 19.2237
4442.8 581.453 571.249 585.135 590.484 19.1768
4445.7 548.888 536.518 573.394 554.63 18.3769
